date,time,vendor,amount,category
2025/01/01,21:39:06 ,MASARADINING ,5995,Select category
2025/01/01,18:02:16 ,FAMILYMART ,168,Select category
2024/12/31,17:40:40 ,SEVEN-ELEVEN ,180,Select category
2024/12/31,17:36:11 ,NIKUNOHANAMASA SHINNIHO ,1224,Select category
2024/12/31,12:11:52 ,AEON GROUP ,160,Select category
2024/12/30,17:36:55 ,FAMILYMART ,220,Select category
2024/12/30,17:29:07 ,SEVEN-ELEVEN ,276,Select category
2024/12/30,13:27:17 ,KAMAKURATOSHIMAYA ,615,Select category
2024/12/30,09:41:22 ,FAMILYMART ,690,Select category
2024/12/29,20:34:35 ,KIYUUSHIYUUJIYANGARAAKIHA ,4600,Select category
2024/12/29,18:42:06 ,GU CO LTD ,7000,Select category
2024/12/28,16:43:33 ,NIKUNOHANAMASA SHINNIHO ,591,Select category
2024/12/28,09:53:00 ,SEVEN-ELEVEN ,120,Select category
2024/12/27,13:31:05 ,SEVEN-ELEVEN ,609,Select category
2024/12/25,20:21:31 ,NIYU-DEIZUKIOSUKU TOUKIYO ,166,Select category
2024/12/24,20:22:47 ,NIKUNOHANAMASAPURASU OI ,152,Select category
2024/12/24,13:41:48 ,FAMILYMART ,570,Select category
